date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:34	185420/185420	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2023:45:31%20GMT	https://team5036.ca/	C:/My%20Web%20Sites/team5036-backup/team5036.ca/index.html	(from )
19:45:34	31594/31594	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20May%202025%2023:45:32%20GMT	https://team5036.ca/robots.txt		(from )
19:45:35	43154/43154	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Feb%202025%2022:11:43%20GMT	https://team5036.ca/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.12	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/themes/astra/assets/css/minified/main.mine506.css	(from https://team5036.ca/)
19:45:35	2267/2267	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2024%20Aug%202024%2004:58:23%20GMT	https://team5036.ca/?feed=rss2	C:/My%20Web%20Sites/team5036-backup/team5036.ca/indexd784.html	(from https://team5036.ca/)
19:45:35	11256/11256	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2022:08:37%20GMT	https://team5036.ca/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://team5036.ca/)
19:45:35	725/725	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2024%20Aug%202024%2004:58:23%20GMT	https://team5036.ca/?feed=comments-rss2	C:/My%20Web%20Sites/team5036-backup/team5036.ca/indexa6da.html	(from https://team5036.ca/)
19:45:35	4186/4186	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2022:08:37%20GMT	https://team5036.ca/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.8.1	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-includes/js/mediaelement/wp-mediaelement.min0899.css	(from https://team5036.ca/)
19:45:35	53269/53269	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/frontend.min3ea8.css	(from https://team5036.ca/)
19:45:36	7418/7418	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Feb%202025%2022:38:31%20GMT	https://team5036.ca/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.1.2	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min658f.css	(from https://team5036.ca/)
19:45:36	71001/71001	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Feb%202025%2022:38:35%20GMT	https://team5036.ca/wp-content/uploads/essential-addons-elementor/eael-167.css?ver=1723750966	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/uploads/essential-addons-elementor/eael-16780de.css	(from https://team5036.ca/)
19:45:36	20060/20060	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.35.0	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minf25c.css	(from https://team5036.ca/)
19:45:37	1199/1199	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2022:09:10%20GMT	https://team5036.ca/wp-content/uploads/elementor/css/post-144.css?ver=1734646150	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/uploads/elementor/css/post-1448b69.css	(from https://team5036.ca/)
19:45:37	254/254	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/widget-image.min3ea8.css	(from https://team5036.ca/)
19:45:37	600/600	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/widget-heading.min3ea8.css	(from https://team5036.ca/)
19:45:37	205/205	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min3ea8.css	(from https://team5036.ca/)
19:45:37	77/77	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min3ea8.css	(from https://team5036.ca/)
19:45:38	5150/5150	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/widget-social-icons.min3ea8.css	(from https://team5036.ca/)
19:45:38	7025/7025	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min3ea8.css	(from https://team5036.ca/)
19:45:38	16471/16471	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://team5036.ca/)
19:45:38	5486/5486	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min3ea8.css	(from https://team5036.ca/)
19:45:39	382/382	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/widget-image-carousel.min3ea8.css	(from https://team5036.ca/)
19:45:39	10310/10310	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/widget-icon-list.min3ea8.css	(from https://team5036.ca/)
19:45:39	301/301	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/css/widget-google_maps.min.css?ver=3.27.5	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/css/widget-google_maps.min3ea8.css	(from https://team5036.ca/)
19:45:39	23363/23363	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2022:09:10%20GMT	https://team5036.ca/wp-content/uploads/elementor/css/post-167.css?ver=1734646150	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/uploads/elementor/css/post-1678b69.css	(from https://team5036.ca/)
19:45:40	58071/58071	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://team5036.ca/)
19:45:40	675/675	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://team5036.ca/)
19:45:40	669/669	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://team5036.ca/)
19:45:40	677/677	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20May%202025%2004:13:42%20GMT	https://team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://team5036.ca/)
19:45:40	87553/87553	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2022:23:08%20GMT	https://team5036.ca/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-includes/js/jquery/jquery.minf43b.js	(from https://team5036.ca/)
19:45:41	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Aug%202023%2022:10:06%20GMT	https://team5036.ca/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/team5036-backup/team5036.ca/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://team5036.ca/)
